0	1	1	1	-0.118354075
0	1	1	2	0.52814719
0	1	1	3	0.067892867
0	1	1	4	0.397018009
0	1	1	5	-0.327697193
0	1	1	6	-0.036696545
0	1	1	7	0.977561314
0	1	1	8	0.174548819
0	2	1	1	0.247357004
0	2	1	2	0.079202807
0	2	1	3	-0.085581258
0	2	1	4	-0.313105268
0	2	1	5	0.0770523
0	2	1	6	0.089045565
0	2	1	7	0.435373905
0	2	1	8	-0.158542572
0	3	1	1	0.163303285
0	3	1	2	0.139162598
0	3	1	3	0.210689987
0	3	1	4	0.264592203
0	3	1	5	-0.14522186
0	3	1	6	0.372073402
0	3	1	7	-0.725907251
0	3	1	8	-0.324565691
0	4	1	1	0.024551972
0	4	1	2	-0.595605204
0	4	1	3	-0.232020238
0	4	1	4	0.03153209
0	4	1	5	-0.143711165
0	4	1	6	0.026438632
0	4	1	7	-0.032675685
0	4	1	8	0.524935662
0	5	1	1	0.772946836
0	5	1	2	-0.207297448
0	5	1	3	0.131118426
0	5	1	4	-0.246513809
0	5	1	5	0.284949416
0	5	1	6	0.324839557
0	5	1	7	-0.051140379
0	5	1	8	-0.377408081
1	1	2	1	0.423507981
1	1	2	2	0.35822225
1	1	2	3	-0.281466013
1	1	2	4	-0.018103151
1	1	2	5	0.267276142
1	1	2	6	0.197664991
1	1	2	7	-0.242980159
1	1	2	8	-0.954136219
1	1	2	9	-0.573323769
1	1	2	10	-0.312751742
1	2	2	1	0.073016437
1	2	2	2	-0.680311216
1	2	2	3	-0.732797457
1	2	2	4	-0.299420808
1	2	2	5	-0.46675787
1	2	2	6	-0.377041923
1	2	2	7	-0.322680781
1	2	2	8	-0.147367646
1	2	2	9	-0.446841048
1	2	2	10	-0.691038718
1	3	2	1	-0.441863881
1	3	2	2	-0.405786469
1	3	2	3	-0.142458469
1	3	2	4	0.028311347
1	3	2	5	-0.358211072
1	3	2	6	0.151364383
1	3	2	7	-0.065499707
1	3	2	8	-0.17525953
1	3	2	9	0.619342414
1	3	2	10	-0.043991928
1	4	2	1	-0.017672853
1	4	2	2	0.190991417
1	4	2	3	-0.399298182
1	4	2	4	-0.639341371
1	4	2	5	-0.585732156
1	4	2	6	-0.214606501
1	4	2	7	-0.635071018
1	4	2	8	-0.105281768
1	4	2	9	0.058900097
1	4	2	10	0.273028153
1	5	2	1	-0.363605735
1	5	2	2	0.206019166
1	5	2	3	-0.488923487
1	5	2	4	-0.099448264
1	5	2	5	0.888976117
1	5	2	6	-0.264525186
1	5	2	7	0.062510397
1	5	2	8	-0.348052411
1	5	2	9	-0.095716422
1	5	2	10	-0.010735558
1	6	2	1	0.001385641
1	6	2	2	0.408529429
1	6	2	3	0.102695773
1	6	2	4	-0.188130105
1	6	2	5	-0.311798712
1	6	2	6	-0.008193827
1	6	2	7	0.481400226
1	6	2	8	-0.08637202
1	6	2	9	-0.837855554
1	6	2	10	-0.001496517
1	7	2	1	-0.670068345
1	7	2	2	-0.220507898
1	7	2	3	-0.282948377
1	7	2	4	-0.200378461
1	7	2	5	0.097424217
1	7	2	6	0.069497254
1	7	2	7	0.246561265
1	7	2	8	0.134978766
1	7	2	9	0.042493541
1	7	2	10	0.277224285
1	8	2	1	0.566611455
1	8	2	2	0.244997274
1	8	2	3	-0.06381113
1	8	2	4	-0.186921798
1	8	2	5	-0.099518682
1	8	2	6	-0.798970904
1	8	2	7	-0.115662578
1	8	2	8	-0.256423907
1	8	2	9	0.114208609
1	8	2	10	0.208403785
2	0	3	1	-0.742845566
2	0	3	2	-0.778718394
2	0	3	3	-0.35992323
2	1	3	1	-0.085678495
2	1	3	2	-0.183028587
2	1	3	3	-0.489126152
2	2	3	1	-0.770064905
2	2	3	2	-0.90950298
2	2	3	3	-0.561785429
2	3	3	1	-0.468910249
2	3	3	2	-0.656113994
2	3	3	3	-0.173984655
2	4	3	1	-0.728257388
2	4	3	2	0.362846394
2	4	3	3	-0.649363555
2	5	3	1	-1.640157037
2	5	3	2	0.121016849
2	5	3	3	-1.128124742
2	6	3	1	-0.810272992
2	6	3	2	-1.073246241
2	6	3	3	-0.728509125
2	7	3	1	-0.132811392
2	7	3	2	-0.557449959
2	7	3	3	-0.353987231
2	8	3	1	-0.918336824
2	8	3	2	0.256659844
2	8	3	3	0.210078614
2	9	3	1	0.442246502
2	9	3	2	0.628390644
2	9	3	3	-0.595568622
2	10	3	1	-0.656113994
2	10	3	2	-0.242980159
2	10	3	3	0.246561265
